"subid"	"condition"	"grain"	"movName"	"clipNo"	"bpTime.series"
"368"	"49546"	"Uninterrupted"	"f"	"corn"	1	71.6366000000238
"369"	"49546"	"Uninterrupted"	"f"	"corn"	1	75.2566000000238
"370"	"49546"	"Uninterrupted"	"f"	"corn"	1	88.3114000000954
"371"	"49546"	"Uninterrupted"	"f"	"corn"	1	90.5434000000953
"372"	"49546"	"Uninterrupted"	"f"	"corn"	1	98.4629000000954
"373"	"49546"	"Uninterrupted"	"f"	"corn"	1	107.79
"374"	"49546"	"Uninterrupted"	"f"	"corn"	1	108.374400000095
"375"	"49546"	"Uninterrupted"	"f"	"corn"	1	128.7615
"376"	"49546"	"Uninterrupted"	"f"	"corn"	1	145.255900000095
"377"	"49546"	"Uninterrupted"	"f"	"corn"	1	161.834300000072
"378"	"49546"	"Uninterrupted"	"f"	"corn"	1	170.267400000095
"379"	"49546"	"Uninterrupted"	"f"	"corn"	1	185.970600000024
"380"	"49546"	"Uninterrupted"	"f"	"corn"	1	193.927100000024
"381"	"49546"	"Uninterrupted"	"f"	"corn"	1	209.954800000072
"382"	"49546"	"Uninterrupted"	"f"	"corn"	1	212.754
"383"	"49546"	"Uninterrupted"	"f"	"corn"	1	219.9585
"384"	"49546"	"Uninterrupted"	"f"	"corn"	1	238.654200000048
"385"	"49546"	"Uninterrupted"	"f"	"corn"	1	256.041600000024
"386"	"49546"	"Uninterrupted"	"f"	"corn"	1	259.6285
"387"	"49546"	"Uninterrupted"	"f"	"corn"	1	273.264700000048
"388"	"49546"	"Uninterrupted"	"f"	"corn"	1	282.275700000048
"389"	"49546"	"Uninterrupted"	"f"	"corn"	1	294.793800000072
