pseudo_subid,exp_subid,condition,movName,eventNo,separated,recall
66,32,Jumbled,3Iron,20,FALSE,0
66,32,Jumbled,3Iron,21,FALSE,0
66,32,Jumbled,3Iron,22,TRUE,0
66,32,Jumbled,3Iron,23,FALSE,0
66,32,Jumbled,3Iron,24,FALSE,0
66,32,Jumbled,3Iron,25,FALSE,1
66,32,Jumbled,3Iron,26,FALSE,0
66,32,Jumbled,3Iron,27,FALSE,0
66,32,Jumbled,3Iron,28,FALSE,0
66,32,Jumbled,3Iron,29,FALSE,0
66,32,Jumbled,3Iron,30,TRUE,0
66,32,Jumbled,3Iron,31,FALSE,0
66,32,Jumbled,3Iron,32,FALSE,0
66,32,Jumbled,3Iron,33,FALSE,0
66,32,Jumbled,3Iron,34,FALSE,0
66,32,Jumbled,3Iron,35,FALSE,0
66,32,Jumbled,3Iron,36,FALSE,0
66,32,Jumbled,3Iron,37,FALSE,0
66,32,Jumbled,3Iron,38,TRUE,1
66,32,Jumbled,3Iron,39,FALSE,0
66,32,Jumbled,3Iron,40,FALSE,0
66,32,Jumbled,3Iron,41,FALSE,0
