"pseudo_subid","exp_subid","exp_cond","movieName","recalled_eventNo","precision","condition","movName"
21,57592,"continuous","iron",66,0.606441147625446,"Uninterrupted","3Iron"
21,57592,"continuous","iron",69,0.802989363670349,"Uninterrupted","3Iron"
21,57592,"continuous","iron",70,0.608464926481247,"Uninterrupted","3Iron"
21,57592,"continuous","iron",71,0.671025097370148,"Uninterrupted","3Iron"
21,57592,"continuous","iron",61,0.545918010175228,"Uninterrupted","3Iron"
21,57592,"continuous","iron",41,0.651052594184875,"Uninterrupted","3Iron"
21,57592,"continuous","iron",74,0.608617030084133,"Uninterrupted","3Iron"
66,21,"ordered","iron",6,0.666563361883163,"Interrupted","3Iron"
66,21,"ordered","iron",5,0.678877949714661,"Interrupted","3Iron"
66,21,"ordered","iron",10,0.67197585105896,"Interrupted","3Iron"
66,21,"ordered","iron",8,0.719147101044655,"Interrupted","3Iron"
66,21,"ordered","iron",25,0.602943196892738,"Interrupted","3Iron"
66,21,"ordered","iron",26,0.49768761289306,"Interrupted","3Iron"
66,21,"ordered","iron",1,0.734552800655365,"Interrupted","3Iron"
66,21,"ordered","iron",26,0.764242827892303,"Interrupted","3Iron"
66,21,"ordered","iron",12,0.758544355630875,"Interrupted","3Iron"
66,21,"ordered","iron",19,0.744204118847847,"Interrupted","3Iron"
66,21,"ordered","iron",35,0.713404297828674,"Interrupted","3Iron"
66,21,"ordered","iron",36,0.747591152787209,"Interrupted","3Iron"
66,21,"ordered","iron",41,0.679944068193436,"Interrupted","3Iron"
66,21,"ordered","iron",42,0.542939063161612,"Interrupted","3Iron"
66,21,"ordered","iron",49,0.55443874001503,"Interrupted","3Iron"
66,21,"ordered","iron",59,0.738198846578598,"Interrupted","3Iron"
66,21,"ordered","iron",60,0.643350467085838,"Interrupted","3Iron"
66,21,"ordered","iron",57,0.58205783367157,"Interrupted","3Iron"
66,21,"ordered","iron",58,0.637341573834419,"Interrupted","3Iron"
66,21,"ordered","iron",65,0.639589071273804,"Interrupted","3Iron"
16,63229,"continuous","iron",10,0.654692858457565,"Uninterrupted","3Iron"
16,63229,"continuous","iron",70,0.730100184679031,"Uninterrupted","3Iron"
16,63229,"continuous","iron",74,0.760023236274719,"Uninterrupted","3Iron"
16,63229,"continuous","iron",50,0.771982163190842,"Uninterrupted","3Iron"
16,63229,"continuous","iron",39,0.69814458489418,"Uninterrupted","3Iron"
16,63229,"continuous","iron",58,0.737953543663025,"Uninterrupted","3Iron"
16,63229,"continuous","iron",41,0.778464615345001,"Uninterrupted","3Iron"
16,63229,"continuous","iron",63,0.72478324174881,"Uninterrupted","3Iron"
16,63229,"continuous","iron",59,0.652326852083206,"Uninterrupted","3Iron"
16,63229,"continuous","iron",37,0.720132619142532,"Uninterrupted","3Iron"
16,63229,"continuous","iron",27,0.758044302463531,"Uninterrupted","3Iron"
16,63229,"continuous","iron",38,0.472192727029324,"Uninterrupted","3Iron"
16,63229,"continuous","iron",58,0.732816264033318,"Uninterrupted","3Iron"
