pseudo_subid,exp_subid,exp_cond,movName,recalled_eventNo,precision,condition
21,7,Full,3Iron,30,0.777285039,Uninterrupted
21,7,Full,3Iron,31,0.768562496,Uninterrupted
21,7,Full,3Iron,32,0.67981711,Uninterrupted
21,7,Full,3Iron,35,0.717811346,Uninterrupted
21,7,Full,3Iron,37,0.683769584,Uninterrupted
21,7,Full,3Iron,38,0.502431071,Uninterrupted
21,7,Full,3Iron,39,0.690383524,Uninterrupted
21,7,Full,3Iron,41,0.681669712,Uninterrupted
21,7,Full,3Iron,42,0.814422429,Uninterrupted
21,7,Full,3Iron,66,0.623010032,Uninterrupted
21,7,Full,3Iron,74,0.583572775,Uninterrupted
66,32,Jumbled,3Iron,69,0.594578028,Jumbled
66,32,Jumbled,3Iron,74,0.589946784,Jumbled
66,32,Jumbled,3Iron,52,0.675487101,Jumbled
66,32,Jumbled,3Iron,38,0.771619439,Jumbled
66,32,Jumbled,3Iron,65,0.599229887,Jumbled
66,32,Jumbled,3Iron,59,0.721420035,Jumbled
66,32,Jumbled,3Iron,61,0.648448884,Jumbled
66,32,Jumbled,3Iron,25,0.626915127,Jumbled
16,13,Ordered,3Iron,1,0.765220284,Interrupted
16,13,Ordered,3Iron,2,0.769864202,Interrupted
16,13,Ordered,3Iron,3,0.637707651,Interrupted
16,13,Ordered,3Iron,6,0.663420945,Interrupted
16,13,Ordered,3Iron,10,0.641881227,Interrupted
16,13,Ordered,3Iron,12,0.598640934,Interrupted
16,13,Ordered,3Iron,20,0.664286479,Interrupted
16,13,Ordered,3Iron,25,0.634954557,Interrupted
16,13,Ordered,3Iron,26,0.660804972,Interrupted
16,13,Ordered,3Iron,31,0.723008275,Interrupted
16,13,Ordered,3Iron,41,0.680488348,Interrupted
16,13,Ordered,3Iron,42,0.577664338,Interrupted
16,13,Ordered,3Iron,44,0.738051504,Interrupted
16,13,Ordered,3Iron,45,0.806850195,Interrupted
16,13,Ordered,3Iron,47,0.601569965,Interrupted
16,13,Ordered,3Iron,46,0.763967365,Interrupted
16,13,Ordered,3Iron,49,0.688990593,Interrupted
16,13,Ordered,3Iron,62,0.672344714,Interrupted
16,13,Ordered,3Iron,66,0.592192739,Interrupted
16,13,Ordered,3Iron,70,0.630194023,Interrupted
16,13,Ordered,3Iron,74,0.734063238,Interrupted
48,9,Ordered,3Iron,1,0.814315856,Interrupted
48,9,Ordered,3Iron,6,0.568557285,Interrupted
48,9,Ordered,3Iron,7,0.699251384,Interrupted
48,9,Ordered,3Iron,19,0.658462912,Interrupted
48,9,Ordered,3Iron,26,0.542001955,Interrupted
48,9,Ordered,3Iron,34,0.645007804,Interrupted
48,9,Ordered,3Iron,37,0.726858258,Interrupted
48,9,Ordered,3Iron,38,0.502197304,Interrupted
48,9,Ordered,3Iron,41,0.647311091,Interrupted
48,9,Ordered,3Iron,42,0.509795781,Interrupted
48,9,Ordered,3Iron,44,0.639054805,Interrupted
48,9,Ordered,3Iron,46,0.776372254,Interrupted
48,9,Ordered,3Iron,47,0.632699877,Interrupted
48,9,Ordered,3Iron,49,0.535311684,Interrupted
48,9,Ordered,3Iron,51,0.490521008,Interrupted
48,9,Ordered,3Iron,56,0.781382561,Interrupted
48,9,Ordered,3Iron,59,0.68827343,Interrupted
48,9,Ordered,3Iron,58,0.662601605,Interrupted
48,9,Ordered,3Iron,66,0.652210593,Interrupted
48,9,Ordered,3Iron,68,0.620207071,Interrupted
48,9,Ordered,3Iron,69,0.785174847,Interrupted
