pseudo_subid,exp_cond,exp_subid,movName,temporal_clustering,semantic_clustering,event_condition,condition
85,Jumbled,18,Corn,0.801978794,0.57497677,intact,Jumbled
85,Jumbled,18,Corn,0.894328885,0.653649922,separated,Jumbled
78,Jumbled,141,Corn,0.643403815,0.566114951,intact,Jumbled
78,Jumbled,141,Corn,NA,NA,separated,Jumbled
56,Ordered,8,Corn,0.853043657,0.716699959,intact,Interrupted
56,Ordered,8,Corn,0.878741435,0.989361702,separated,Interrupted
2,Jumbled,14,Corn,0.716229628,0.567479817,intact,Jumbled
2,Jumbled,14,Corn,0.991191789,0.318627451,separated,Jumbled
26,Ordered,4,Corn,0.754629923,0.601276399,intact,Interrupted
26,Ordered,4,Corn,0.795146004,0.306096311,separated,Interrupted
43,Ordered,23,Corn,0.851570079,0.628972032,intact,Interrupted
43,Ordered,23,Corn,0.991071429,0.732142857,separated,Interrupted
33,Full,32,Corn,0.900670319,0.658461448,intact,Uninterrupted
33,Full,32,Corn,0.905172414,0.396551724,separated,Uninterrupted
90,Jumbled,30,Corn,0.781585111,0.697909356,intact,Jumbled
90,Jumbled,30,Corn,NA,NA,separated,Jumbled
71,Full,30,Corn,0.956581193,0.700535694,intact,Uninterrupted
71,Full,30,Corn,0.949817335,0.796137382,separated,Uninterrupted
